Folder,Image Count
acne_finetune_text_to_image_text_to_image,1260
acne_vulgaris_finetune_text_to_image_text_to_image,2540
actinic_keratosis_finetune_text_to_image_text_to_image,2940
all_finetune_inpaint_inpaint,35300
all_finetune_inpaint_inpaint_outpaint,35300
all_finetune_text_to_image_text_to_image,88250
allergic_contact_dermatitis_finetune_inpaint_inpaint,3580
allergic_contact_dermatitis_finetune_inpaint_inpaint_outpaint,3580
allergic_contact_dermatitis_finetune_text_to_image_text_to_image,57312
allergic_contact_dermatitis_pretrained_inpaint_inpaint,3580
allergic_contact_dermatitis_pretrained_inpaint_inpaint_outpaint,3580
allergic_contact_dermatitis_pretrained_text_to_image_text_to_image,3580
basal_cell_carcinoma_finetune_inpaint_inpaint,4060
basal_cell_carcinoma_finetune_inpaint_inpaint_outpaint,4060
basal_cell_carcinoma_finetune_text_to_image_text_to_image,78294
basal_cell_carcinoma_pretrained_inpaint_inpaint,4060
basal_cell_carcinoma_pretrained_inpaint_inpaint_outpaint,4060
basal_cell_carcinoma_pretrained_text_to_image_text_to_image,4060
cheilitis_finetune_text_to_image_text_to_image,730
dariers_disease_finetune_text_to_image_text_to_image,1170
dermatofibroma_finetune_text_to_image_text_to_image,1370
dermatomyositis_finetune_text_to_image_text_to_image,1210
drug_eruption_finetune_text_to_image_text_to_image,1500
eczema_finetune_text_to_image_text_to_image,1540
ehlers_danlos_syndrome_finetune_text_to_image_text_to_image,940
erythema_multiforme_finetune_text_to_image_text_to_image,1380
fixed_eruptions_finetune_text_to_image_text_to_image,810
folliculitis_finetune_inpaint_inpaint,1910
folliculitis_finetune_inpaint_inpaint_outpaint,1910
folliculitis_finetune_text_to_image_text_to_image,40095
folliculitis_pretrained_inpaint_inpaint,1910
folliculitis_pretrained_inpaint_inpaint_outpaint,1910
folliculitis_pretrained_text_to_image_text_to_image,1910
granuloma_annulare_finetune_text_to_image_text_to_image,1460
hailey_hailey_disease_finetune_text_to_image_text_to_image,580
juvenile_xanthogranuloma_finetune_text_to_image_text_to_image,920
kaposi_sarcoma_finetune_text_to_image_text_to_image,2610
keloid_finetune_text_to_image_text_to_image,1070
lichen_planus_finetune_inpaint_inpaint,4120
lichen_planus_finetune_inpaint_inpaint_outpaint,4120
lichen_planus_finetune_text_to_image_text_to_image,64780
lichen_planus_pretrained_inpaint_inpaint,4120
lichen_planus_pretrained_inpaint_inpaint_outpaint,4120
lichen_planus_pretrained_text_to_image_text_to_image,4120
lupus_erythematosus_finetune_inpaint_inpaint,2970
lupus_erythematosus_finetune_inpaint_inpaint_outpaint,2970
lupus_erythematosus_finetune_text_to_image_text_to_image,53314
lupus_erythematosus_pretrained_inpaint_inpaint,2970
lupus_erythematosus_pretrained_inpaint_inpaint_outpaint,2970
lupus_erythematosus_pretrained_text_to_image_text_to_image,2970
lupus_subacute_finetune_text_to_image_text_to_image,790
lyme_disease_finetune_text_to_image_text_to_image,860
malignant_melanoma_finetune_text_to_image_text_to_image,790
melanoma_finetune_text_to_image_text_to_image,4400
milia_finetune_text_to_image_text_to_image,780
mycosis_fungoides_finetune_text_to_image_text_to_image,3080
necrobiosis_lipoidica_finetune_text_to_image_text_to_image,820
nematode_infection_finetune_text_to_image_text_to_image,1470
neurofibromatosis_finetune_text_to_image_text_to_image,1310
neutrophilic_dermatoses_finetune_inpaint_inpaint,2840
neutrophilic_dermatoses_finetune_inpaint_inpaint_outpaint,2840
neutrophilic_dermatoses_finetune_text_to_image_text_to_image,50144
neutrophilic_dermatoses_pretrained_inpaint_inpaint,2840
neutrophilic_dermatoses_pretrained_inpaint_inpaint_outpaint,2840
neutrophilic_dermatoses_pretrained_text_to_image_text_to_image,2840
papilomatosis_confluentes_and_reticulate_finetune_text_to_image_text_to_image,600
pediculosis_lids_finetune_text_to_image_text_to_image,250
photodermatoses_finetune_inpaint_inpaint,2720
photodermatoses_finetune_inpaint_inpaint_outpaint,2720
photodermatoses_finetune_text_to_image_text_to_image,47920
photodermatoses_pretrained_inpaint_inpaint,2720
photodermatoses_pretrained_inpaint_inpaint_outpaint,2720
photodermatoses_pretrained_text_to_image_text_to_image,2720
pityriasis_rosea_finetune_text_to_image_text_to_image,1060
pityriasis_rubra_pilaris_finetune_text_to_image_text_to_image,1670
porokeratosis_actinic_finetune_text_to_image_text_to_image,1060
porphyria_finetune_text_to_image_text_to_image,840
prurigo_nodularis_finetune_text_to_image_text_to_image,2650
psoriasis_finetune_inpaint_inpaint,5840
psoriasis_finetune_inpaint_inpaint_outpaint,5840
psoriasis_finetune_text_to_image_text_to_image,91848
psoriasis_pretrained_inpaint_inpaint,5840
psoriasis_pretrained_inpaint_inpaint_outpaint,5840
psoriasis_pretrained_text_to_image_text_to_image,5840
pyogenic_granuloma_finetune_text_to_image_text_to_image,1950
sarcoidosis_finetune_inpaint_inpaint,2860
sarcoidosis_finetune_inpaint_inpaint_outpaint,2860
sarcoidosis_finetune_text_to_image_text_to_image,49574
sarcoidosis_pretrained_inpaint_inpaint,2860
sarcoidosis_pretrained_inpaint_inpaint_outpaint,2860
sarcoidosis_pretrained_text_to_image_text_to_image,2860
scabies_finetune_text_to_image_text_to_image,2030
scleroderma_finetune_text_to_image_text_to_image,2320
scleromyxedema_finetune_text_to_image_text_to_image,680
seborrheic_dermatitis_finetune_text_to_image_text_to_image,980
seborrheic_keratosis_finetune_text_to_image_text_to_image,1300
squamous_cell_carcinoma_finetune_inpaint_inpaint,4400
squamous_cell_carcinoma_finetune_inpaint_inpaint_outpaint,4400
squamous_cell_carcinoma_finetune_text_to_image_text_to_image,74410
squamous_cell_carcinoma_pretrained_inpaint_inpaint,4400
squamous_cell_carcinoma_pretrained_inpaint_inpaint_outpaint,4400
squamous_cell_carcinoma_pretrained_text_to_image_text_to_image,4400
stevens_johnson_syndrome_finetune_text_to_image_text_to_image,900
superficial_spreading_melanoma_ssm_finetune_text_to_image_text_to_image,910
syringoma_finetune_text_to_image_text_to_image,630
telangiectases_finetune_text_to_image_text_to_image,860
tuberous_sclerosis_finetune_text_to_image_text_to_image,820
tungiasis_finetune_text_to_image_text_to_image,620
urticaria_finetune_text_to_image_text_to_image,1180
urticaria_pigmentosa_finetune_text_to_image_text_to_image,840
vitiligo_finetune_text_to_image_text_to_image,1300
